Variable:,pr
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1976,887.69,477.11,923.21,460.18,996.37,752.16,1390.63,559.25,930.99,713.07,1056.76,1212.84,990.10,949.30,1020.54,1199.21,473.10,990.10,1010.70,817.94,845.09,999.10,967.53,672.43,1263.88,941.76,1036.30,992.51,869.45,800.75,612.70
1977,1096.70,826.48,1113.07,690.61,1278.78,1077.64,1465.00,835.98,1195.79,816.52,1468.53,1083.00,1315.90,1264.93,1362.00,1260.50,709.88,1315.90,1243.58,1012.94,1227.21,1234.80,1187.04,829.44,1376.51,1141.51,1212.61,1062.58,1053.05,1024.67,864.25
1978,1189.94,950.09,1404.15,759.65,1312.32,1284.43,1567.79,1048.54,1225.10,997.34,1444.41,1288.53,1461.90,1506.88,1533.92,1433.22,793.39,1461.90,1531.88,1099.28,1252.19,1510.70,1179.11,906.88,1371.98,1281.53,1209.62,1189.45,1192.12,1032.41,886.85
1979,1240.86,920.87,1322.98,731.53,1262.25,1334.95,1952.15,948.70,1037.83,1236.67,1699.61,1511.08,1479.20,1442.84,1543.89,1589.97,742.14,1479.20,1473.24,999.80,1236.31,1460.10,999.41,1104.81,1224.39,1264.07,984.50,1610.25,1357.66,875.67,816.47
1980,1025.76,728.63,986.39,673.78,1132.72,965.92,1619.14,761.25,908.08,803.38,1319.05,1372.73,876.40,917.69,1150.16,1439.99,629.87,876.40,1005.41,880.96,918.24,1005.50,1032.14,842.12,1129.67,1037.73,985.67,1140.08,989.83,912.62,751.39
1981,968.12,695.04,1070.77,602.59,1203.82,1030.56,1395.80,752.72,983.35,646.62,1305.95,1088.84,1157.20,1193.45,1235.59,1197.02,563.36,1157.20,1227.39,889.84,1003.00,1221.00,1051.44,785.15,1161.68,987.08,1036.99,935.09,752.29,906.32,737.27
1982,1161.09,892.31,1256.67,684.01,1389.47,1293.72,1719.33,890.24,1194.72,854.15,1448.30,1324.18,1472.20,1408.33,1430.01,1382.10,755.82,1472.20,1405.96,1033.71,1262.52,1380.20,1198.02,862.60,1352.07,1203.03,1224.59,1062.89,1201.15,1061.81,961.92
1983,911.37,547.22,1026.99,579.02,1014.14,761.18,1517.05,590.82,990.52,727.52,1162.55,1240.65,977.70,1006.93,1141.15,1209.95,609.51,977.70,1091.83,744.41,788.47,1079.80,873.04,776.65,1118.13,865.59,917.80,1027.35,848.32,727.57,627.80
1984,1051.32,610.68,1264.48,706.15,1007.24,914.02,1763.52,751.83,837.28,969.92,1423.51,1383.50,1350.70,1345.81,1461.25,1411.05,687.00,1350.70,1358.33,871.34,1171.06,1351.70,862.67,919.30,1095.57,1002.32,875.96,1209.77,982.09,801.88,657.17
1985,1002.02,750.34,1011.19,660.32,1175.28,899.06,1406.13,723.62,1080.55,840.98,1135.34,1167.65,1177.00,1140.78,1164.41,1169.64,718.93,1177.00,1097.03,989.04,980.55,1092.40,1062.41,783.63,1247.13,1099.31,1051.20,965.75,960.00,887.54,777.66
