ISO3,Country,Region,Service Type,Year,Coverage,Service level
TZA,United Republic of Tanzania,Mtwara,Sanitation,2012,4.90122,Limited service
TZA,United Republic of Tanzania,Mtwara,Drinking water,2012,50.82966,At least basic
TZA,United Republic of Tanzania,Mtwara,Drinking water,2012,28.02076,Unimproved
TZA,United Republic of Tanzania,Mtwara,Sanitation,2012,26.89512,At least basic
TZA,United Republic of Tanzania,Mtwara,Drinking water,2012,11.46773,Surface water
TZA,United Republic of Tanzania,Mtwara,Sanitation,2012,64.86273,Unimproved
TZA,United Republic of Tanzania,Mtwara,Sanitation,2012,3.34093,Open defecation
TZA,United Republic of Tanzania,Mtwara,Drinking water,2012,9.68184,Limited service
TZA,United Republic of Tanzania,Mwanza,Drinking water,2012,21.23515,Unimproved
TZA,United Republic of Tanzania,Mwanza,Drinking water,2012,58.91555,At least basic
TZA,United Republic of Tanzania,Mwanza,Sanitation,2012,9.32918,Limited service
TZA,United Republic of Tanzania,Mwanza,Drinking water,2012,9.43196,Limited service
TZA,United Republic of Tanzania,Mwanza,Sanitation,2012,23.26802,At least basic
TZA,United Republic of Tanzania,Mwanza,Sanitation,2012,55.7506,Unimproved
TZA,United Republic of Tanzania,Mwanza,Sanitation,2012,11.6522,Open defecation
TZA,United Republic of Tanzania,Mwanza,Drinking water,2012,10.41734,Surface water
TZA,United Republic of Tanzania,Njombe,Sanitation,2012,0.06684,Open defecation
TZA,United Republic of Tanzania,Njombe,Drinking water,2012,18.73991,Surface water
TZA,United Republic of Tanzania,Njombe,Drinking water,2012,31.79358,Unimproved
TZA,United Republic of Tanzania,Njombe,Drinking water,2012,2.07759,Limited service
TZA,United Republic of Tanzania,Njombe,Sanitation,2012,2.78748,Limited service
TZA,United Republic of Tanzania,Njombe,Drinking water,2012,47.38892,At least basic
TZA,United Republic of Tanzania,Njombe,Sanitation,2012,34.17574,At least basic
TZA,United Republic of Tanzania,Njombe,Sanitation,2012,62.96995,Unimproved
TZA,United Republic of Tanzania,Pwani,Drinking water,2012,16.83103,Surface water
TZA,United Republic of Tanzania,Pwani,Sanitation,2012,58.08395,Unimproved
TZA,United Republic of Tanzania,Pwani,Drinking water,2012,23.63176,Unimproved
TZA,United Republic of Tanzania,Pwani,Drinking water,2012,56.91758,At least basic
TZA,United Republic of Tanzania,Pwani,Sanitation,2012,25.7622,At least basic
TZA,United Republic of Tanzania,Pwani,Sanitation,2012,7.91788,Limited service
TZA,United Republic of Tanzania,Pwani,Drinking water,2012,2.61964,Limited service
TZA,United Republic of Tanzania,Pwani,Sanitation,2012,8.23597,Open defecation
TZA,United Republic of Tanzania,Rukwa,Drinking water,2012,8.94655,Limited service
TZA,United Republic of Tanzania,Rukwa,Drinking water,2012,31.35322,At least basic
TZA,United Republic of Tanzania,Rukwa,Sanitation,2012,9.93471,Open defecation
TZA,United Republic of Tanzania,Rukwa,Drinking water,2012,36.0507,Unimproved
TZA,United Republic of Tanzania,Rukwa,Sanitation,2012,6.44797,Limited service
TZA,United Republic of Tanzania,Rukwa,Sanitation,2012,59.8781,Unimproved
TZA,United Republic of Tanzania,Rukwa,Drinking water,2012,23.64953,Surface water
TZA,United Republic of Tanzania,Rukwa,Sanitation,2012,23.73922,At least basic
TZA,United Republic of Tanzania,Ruvuma,Sanitation,2012,6.28157,Limited service
